#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
119	8801321	1	46	240660761	27.343709	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2410820	1838175	2217196	2335130	0		
120	8786788	1	46	241268826	27.458137	23.000000	29.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	1920537	2266977	2218081	2381193	0		
121	8772937	1	46	241173813	27.490658	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2093511	1802975	2637445	2239006	0		
122	8754803	1	46	239270260	27.330171	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2536045	1582581	2523926	2112251	0		
123	8730299	1	46	239706997	27.456906	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2648994	1837555	2098451	2145299	0		
124	8695795	1	46	239343141	27.524009	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2459683	1978945	2061386	2195781	0		
125	8638111	1	46	239102692	27.679974	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2145809	2360113	2283224	1848965	0		
126	8535442	1	46	237671421	27.845239	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2226930	2490305	1862740	1955467	0		
127	8498755	1	46	235731702	27.737204	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	1823138	2316068	2183491	2176058	0		
128	8465411	1	46	235132420	27.775665	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2045960	1817640	2336751	2265060	0		
129	8449644	1	46	232385980	27.502458	23.000000	30.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2653747	1890246	2087347	1818304	0		
130	8427615	1	46	232531438	27.591607	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2068612	1928908	2384900	2045195	0		
131	8371582	1	46	230113947	27.487510	23.000000	30.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2458527	1382433	2027891	2502731	0		
132	8333280	1	46	228616460	27.434151	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2208164	1618521	2154888	2351707	0		
133	8287252	1	46	228523194	27.575268	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	1972675	1831837	2097939	2384801	0		
134	8267428	1	46	227792842	27.553048	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2108193	1985933	1924580	2248722	0		
135	8236058	1	46	226650657	27.519313	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1978679	2033570	2409830	1813979	0		
136	8219250	1	46	226501874	27.557487	23.000000	30.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2543672	1786548	1739607	2149423	0		
137	8192873	1	46	223935153	27.332921	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2176774	1890447	2436127	1689525	0		
138	8133378	1	46	221640037	27.250675	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2229311	1500890	2415795	1987382	0		
139	8017906	1	46	216987421	27.062854	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1913591	1649751	2362482	2092082	0		
140	7996268	1	46	216581650	27.085342	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1921504	1742093	1937038	2395633	0		
141	7957184	1	46	215703717	27.108047	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	2009086	1879087	1959785	2109226	0		
142	7901823	1	46	214058848	27.089805	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1851171	1885355	2050905	2114392	0		
143	7699421	1	46	206516830	26.822384	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1678398	2018024	1749578	2253421	0		
144	7632461	1	46	206096098	27.002575	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1779330	2048814	1796939	2007378	0		
145	7596326	1	46	203422139	26.779016	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1849855	1830386	1787083	2129002	0		
146	7541598	1	46	202681296	26.875113	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	2050253	1846506	1826242	1818597	0		
147	7318584	1	46	195993448	26.780242	22.000000	28.000000	32.000000	10.000000	7	46	1,3,4,5,6	1672747	2014410	1802040	1829387	0		
148	7276700	1	46	194558021	26.737123	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1970941	1915161	1377925	2012673	0		
149	7191948	1	46	195570394	27.192966	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1956443	1966781	1351442	1917282	0		
150	7112891	1	46	192406402	27.050380	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1765487	1868655	1546909	1931840	0		
151	7081777	1	46	193273782	27.291707	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1696680	1996569	1687911	1700617	0		
152	7051297	1	46	194316561	27.557563	23.000000	30.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1751152	1791775	1815111	1693259	0		
153	7018969	1	46	191184040	27.238194	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1884917	1583311	1852452	1698289	0		
154	6959629	1	46	187653238	26.963109	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1935056	1507764	1893996	1622813	0		
155	6715194	1	46	180765478	26.918877	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1618495	1563624	1946754	1586321	0		
156	6689101	1	46	180163119	26.933831	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1702265	1981936	1320589	1684311	0		
157	6646942	1	46	178929472	26.919066	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1625277	2141975	1055392	1824298	0		
158	6625235	1	46	177889456	26.850286	22.000000	29.000000	32.000000	10.000000	7	46	1,3,4,5,6	1704492	1720315	1286556	1913872	0		
159	6590305	1	46	179945619	27.304597	23.000000	29.000000	32.000000	9.000000	10	45	1,3,4,5,6,7,8,9,46	1300675	1723310	1824509	1741811	0		
